word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster
an	0.248894835435724	0.783698398986826	0.822272351280943	70	60	0.857142857142857	4
śaṃsay	0.000235739890644949	0.0476394953265348	0.0476400785921158	7	1	0.142857142857143	8
śubhri	0.00132019876425329	0.141962164241202	0.141968302803207	8	2	0.25	8
tuvīmagha	0.00483065387375362	0.291094605279825	0.291134684364239	12	6	0.5	8
śiprin	1.39288934076509	0.990949326814627	1.70942133013817	13	13	1	1
śacīvat	0.0633921023068964	0.791662000863704	0.794195997374962	17	15	0.882352941176471	6
daṃsanā	1.56558615893883	0.991262790820459	1.85301428530004	14	14	1	1
svāpay	0.014239466033887	0.707447996165444	0.707591287164725	6	5	0.833333333333333	7
sas	0.0133911905223128	0.383176443897948	0.383410369111063	22	13	0.590909090909091	8
budh	0.183201496379099	0.730135893983451	0.752769029622337	69	57	0.826086956521739	6
arāti	0.123103611961015	0.74032418033776	0.750489434483008	44	37	0.840909090909091	6
mṛṇ	0.783037314990935	0.991265620725876	1.26323195316667	7	7	1	2
pāpa	0.0813040468394205	0.86436900345561	0.86818438258662	13	12	0.923076923076923	6
dūram	0.895893994592946	0.991276088765457	1.33613410019573	8	8	1	2
sarva	0.110695289367433	0.527592495381155	0.539080038835286	101	70	0.693069306930693	7
jambhay	0.558872607888995	0.991271052659952	1.13796172681256	5	5	1	2
krivi	0.991324764817377	0.9911341707218	1.40181016322205	9	9	1	1
maṃhiṣṭha	0.334963673550561	0.911838694454612	0.971416732048186	33	31	0.939393939393939	4
sic	0.265807753896827	0.799324542862248	0.842361850307585	68	59	0.867647058823529	4
nimna	1.23230189566686	0.991291827442378	1.58152693597618	11	11	1	1
ri	0.205400502555482	0.839550972571727	0.864311981865448	40	36	0.9	4
śuṣmin	0.588809313694442	0.955409511367112	1.12227614351552	28	27	0.964285714285714	2
enā	0.895901946307605	0.991276158492863	1.33613948365959	8	8	1	2
kapota	0.00144892323972772	0.196793319409922	0.196798653305683	6	2	0.333333333333333	8
ūh	0.134149413459688	0.824983194762539	0.835818961720888	29	26	0.896551724137931	6
stotra	2.12718142722146	0.991274255464712	2.34681176788064	19	19	1	9
girvāhas	0.447566971069921	0.991268277686154	1.08762539136395	4	4	1	2
anya	0.151587616693432	0.387654839648801	0.416239210356175	244	136	0.557377049180328	8
pratna	0.169219034694284	0.720172971657442	0.739786584636931	67	55	0.82089552238806	6
pūrvam	0.447566977454531	0.991268277820062	1.08762539411331	4	4	1	2
vāra	0.359113453968559	0.753046384323294	0.834290914347996	120	99	0.825	5
puruhūta	0.0865333342550101	0.571921571150795	0.578430896032433	66	48	0.727272727272727	7
tathā	0.113189590023573	0.884914015331301	0.892123700962748	15	14	0.933333333333333	6
