word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
поставили	0.275581984443252	0.841144876979994	0.885138483074468	28	25	0.892857142857143	0.790302217030775	HighCPI
самому	0.131552287789264	0.558273118401887	0.573563317474851	56	40	0.714285714285714	0.409688083910608	LowCPI
ухватил	0.132639317166902	0.592888760780557	0.607544460198928	49	36	0.73469387755102	0.446359195248192	MediumCPI
морду	0.0157864479689628	0.435698168273732	0.435984065966363	11	7	0.636363636363636	0.277444405614958	LowCPI
убежали	1.68849822782413	0.991249822557634	1.95795875239643	8	8	1	1.95795875239643	HighCPI
подобру	1.27085256056	0.991262856665289	1.61172835232434	6	6	1	1.61172835232434	HighCPI
поздорову	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
питер	0.00386882977154897	0.229198208927737	0.229230859221624	7	3	0.428571428571429	0.0982417968092673	VLowCPI
богу	0.220130878735038	0.520732414108059	0.565349317568764	109	72	0.660550458715596	0.373441751054596	LowCPI
молиться	0.0303460488018965	0.475619011920679	0.476586117273983	18	12	0.666666666666667	0.317724078182655	LowCPI
идешь	0.0531501486302618	0.3380236719985	0.342176768835596	56	30	0.535714285714286	0.183308983304783	LowCPI
шли	0.0538342813773627	0.182209710250747	0.189996074593867	130	47	0.361538461538462	0.0686908885070136	VLowCPI
яма	0.0149187264294105	0.471406675158932	0.471642684436719	9	6	0.666666666666667	0.314428456291146	LowCPI
глубокая	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
широкая	0.0100223976293906	0.473317018055073	0.473423117343026	6	4	0.666666666666667	0.315615411562017	LowCPI
прыгнула	1.0524527897184	0.99122480785459	1.44574669091525	5	5	1	1.44574669091525	HighCPI
сидели	2.36164986363184	0.990676166690958	2.56102115290791	12	12	1	2.56102115290791	HighCPI
давайте	0.398410592988569	0.922525022563127	1.00487980269314	18	17	0.944444444444444	0.949053146987964	HighCPI
тянуть	0.0312873070567615	0.583803607759186	0.584641384111239	12	9	0.75	0.438481038083429	MediumCPI
запоет	0.0149672679737022	0.535091927529356	0.535301214287506	7	5	0.714285714285714	0.382358010205361	LowCPI
затянул	0.0388473173082484	0.74912679284095	0.750133365351932	7	6	0.857142857142857	0.642971456015942	MediumCPI
толстым	0.0177666898413933	0.656557069922212	0.656797412702547	5	4	0.8	0.525437930162038	MediumCPI
мягче	0.00198110601176939	0.148404863093954	0.14841808572733	6	2	0.333333333333333	0.0494726952424434	VLowCPI
э	0.10659577643664	0.713746197453335	0.721662174381632	23	19	0.826086956521739	0.596155709271783	MediumCPI
голоском	0.0149672679737022	0.535091927529356	0.535301214287506	7	5	0.714285714285714	0.382358010205361	LowCPI
звери	0.0727328128193428	0.610168105604516	0.614487737190595	25	19	0.76	0.467010680264852	MediumCPI
всеми	0.0758731263396888	0.705986074520036	0.710051454978277	17	14	0.823529411764706	0.584748257040934	MediumCPI
косточками	0.84365678068156	0.991242643104132	1.30165999442944	4	4	1	1.30165999442944	HighCPI
