word	k	p	sqrt_kp	sum	DF
yard	0.874151835750168	0.87954134639973	1.24005419719141	17	15
important	0.395161488268455	0.767482033257085	0.863238827430144	17	14
simply	8.02473037887394	0.991262705341073	8.08572194702627	10	10
sorts	0.318433910912621	0.704129709603004	0.77278638935007	19	15
meeting	0.0528850080227255	0.384942690121939	0.388558488199497	12	7
thyself	0.330496878945379	0.66164038768241	0.739591907476797	24	18
belong	0.206801313291623	0.727492671637223	0.756314994208765	11	9
st	0.16532610395527	0.281233954782791	0.32622884294893	60	27
entitled	0.158422428418196	0.692268088626906	0.710163905276147	10	8
latter	3.17241341745791	0.967765392690956	3.31674188723772	15	14
remain	6.74366342250352	0.976531108619456	6.81400098048961	23	21
domestic	0.471663317714518	0.870086846850079	0.989705717038645	10	9
thrusting	0.471663317714518	0.870086846850079	0.989705717038645	10	9
pick	0.107996514324655	0.582312699469824	0.592242625171566	11	8
rapidly	0.33863581320812	0.716779594704476	0.792746618644216	19	15
hunter	0.225829554571676	0.627945388459896	0.667318813316462	19	14
fool	0.0913236734531603	0.447665840705455	0.456885891954984	16	10
secret	0.300878381841415	0.640312776773328	0.707480213687052	24	18
elijah	0.0191032196176718	0.153157821076531	0.154344585770514	15	5
yards	0.214536924737186	0.549258949422061	0.589670658584871	25	17
distance	0.322979596961053	0.56024115212181	0.646672999733171	36	24
intent	0.216052837343399	0.686658244829715	0.719846076405753	14	11
relieved	8.02473037887394	0.991262705341073	8.08572194702627	10	10
coils	0.471663317714518	0.870086846850079	0.989705717038645	10	9
knives	0.150207227431756	0.680812396693037	0.697185578353176	10	8
numerous	0.249918949211433	0.702902006191781	0.746009860178388	15	12
spars	0.913122102887121	0.915290408806593	1.29288379494614	12	11
period	0.269897948013982	0.68042843174217	0.732002563564682	18	14
hoops	0.150207227431756	0.680812396693037	0.697185578353176	10	8
steward	0.0546440454797484	0.301228501466569	0.306144707290829	18	9
log	0.0520621469135155	0.251518973247809	0.256850659031423	22	10
yield	0.249918949211433	0.702902006191781	0.746009860178388	15	12
longer	8.525856628368	0.985327827309959	8.58260462649643	18	17
whalebone	0.193264309157313	0.713864851297155	0.739563465235785	11	9
