word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
quite.well	3.02725444750498	0.991253163186857	3.18541242596098	12	12	1	3.18541242596098	HighCPI
drew.up	0.207115133587585	0.877827449112025	0.901929991172002	13	12	0.923076923076923	0.832550761081848	MediumCPI
from.one	2.23499361230972	0.96550737066476	2.43462541880127	36	34	0.944444444444444	2.29936845109008	HighCPI
another.with	0.0304076809777067	0.554905544242494	0.555738058885209	11	8	0.727272727272727	0.404173133734697	VLowCPI
threw.it	0.108322015814094	0.830084697843635	0.837122610317143	10	9	0.9	0.753410349285429	LowCPI
quickly.and	1.06988215285704	0.95638658865729	1.43503419052145	22	21	0.954545454545455	1.36980536367957	MediumCPI
over.it	0.18700762654833	0.824116479483959	0.845067940549323	18	16	0.888888888888889	0.751171502710509	LowCPI
and.holding	0.106603623223077	0.727595037280792	0.735363087705607	18	15	0.833333333333333	0.612802573088006	LowCPI
the.book	0.0436065516123084	0.662926692331385	0.664359338572845	10	8	0.8	0.531487470858276	VLowCPI
felt.herself	0.0992116352512235	0.761682416895702	0.768116561973051	14	12	0.857142857142857	0.65838562454833	LowCPI
of.old	0.302832550714775	0.901038626307414	0.950567283189553	15	14	0.933333333333333	0.887196130976916	MediumCPI
the.red	0.105513439283349	0.664732672589579	0.673054687137298	24	19	0.791666666666667	0.532834960650361	VLowCPI
came.and	0.433971287236497	0.920079098968031	1.01728886089622	17	16	0.941176470588235	0.95744833966703	MediumCPI
s.this	0.0962337614650739	0.756103694733154	0.762203210459549	14	12	0.857142857142857	0.653317037536756	LowCPI
every.day	0.160810164783093	0.63326905783715	0.653367896909174	42	32	0.761904761904762	0.497804111930799	VLowCPI
see.and	3.20797867584864	0.991087311984122	3.35758562730357	13	13	1	3.35758562730357	HighCPI
and.could	0.374067009602268	0.812234767466139	0.894232321689143	39	34	0.871794871794872	0.779587152241817	LowCPI
anything.but	4.04261800473985	0.991262714584473	4.16237457487576	16	16	1	4.16237457487576	HighCPI
conscious.of	0.0947535019121562	0.535953905727476	0.544265390401735	37	26	0.702702702702703	0.382456760822841	VLowCPI
her.of	0.363093280830857	0.910985738484922	0.980679227019434	16	15	0.9375	0.919386775330719	MediumCPI
the.smell	0.0992116352512235	0.761682416895702	0.768116561973051	14	12	0.857142857142857	0.65838562454833	LowCPI
efforts.to	2.52664399844383	0.991262741513418	2.71413553780664	10	10	1	2.71413553780664	HighCPI
he.paced	0.108322015814094	0.830084697843635	0.837122610317143	10	9	0.9	0.753410349285429	LowCPI
paced.up	0.13834821575489	0.795903844112825	0.807838571668952	16	14	0.875	0.706858750210333	LowCPI
down.again	3.70770448621818	0.99110647736623	3.83788543427233	15	15	1	3.83788543427233	HighCPI
again.he	0.709363468295426	0.914263301766728	1.15718361339483	30	28	0.933333333333333	1.08003803916851	MediumCPI
t.do	0.130147564871793	0.718469692850185	0.730162371110904	23	19	0.826086956521739	0.603177610917703	LowCPI
it.won	0.739269384667076	0.943403088712588	1.19855271511039	20	19	0.95	1.13862507935487	MediumCPI
when.princess	0.0383159139429678	0.590167897650159	0.591410396153207	12	9	0.75	0.443557797114905	VLowCPI
having.taken	3.47501847160172	0.991122558410154	3.61359617331027	14	14	1	3.61359617331027	HighCPI
day.s	0.132720624181409	0.789078026355131	0.800161793489049	16	14	0.875	0.700141569302918	LowCPI
he.stopped	0.538023763785958	0.903221338510918	1.05132219454355	26	24	0.923076923076923	0.970451256501737	MediumCPI
it.well	3.70770448621818	0.99110647736623	3.83788543427233	15	15	1	3.83788543427233	HighCPI
go.go	0.0520233826670488	0.594551964005896	0.596823650878038	16	12	0.75	0.447617738158529	VLowCPI
which.stood	0.108322015814094	0.830084697843635	0.837122610317143	10	9	0.9	0.753410349285429	LowCPI
broke.the	2.52664399844383	0.991262741513418	2.71413553780664	10	10	1	2.71413553780664	HighCPI
been.at	0.887125644364757	0.950123529544704	1.29989485354934	21	20	0.952380952380952	1.23799509861842	MediumCPI
terrible.and	0.0558744462333079	0.642851942713062	0.645275579881833	14	11	0.785714285714286	0.507002241335726	VLowCPI
and.half	2.77992178814252	0.991264822655961	2.95136766547726	11	11	1	2.95136766547726	HighCPI
my.heart	0.0760767321831916	0.681972188903155	0.686202401348927	16	13	0.8125	0.557539451096003	VLowCPI
as.we	0.432535648975148	0.866708134258098	0.968643421297799	30	27	0.9	0.871779079168019	MediumCPI
now.as	0.0962337614650739	0.756103694733154	0.762203210459549	14	12	0.857142857142857	0.653317037536756	LowCPI
i.loved	0.13640443241962	0.84831305322306	0.859209639990352	11	10	0.909090909090909	0.781099672718502	LowCPI
stood.on	2.77992178814252	0.991264822655961	2.95136766547726	11	11	1	2.95136766547726	HighCPI
to.read	0.417246680670736	0.886887352631289	0.980134668700217	24	22	0.916666666666667	0.898456779641866	MediumCPI
seemed.as	4.77984097964636	0.991239731287282	4.88154033022254	19	19	1	4.88154033022254	HighCPI
at.times	0.0665706265695717	0.714443795052694	0.717538559668511	12	10	0.833333333333333	0.597948799723759	LowCPI
assumed.a	4.04261800473985	0.991262714584473	4.16237457487576	16	16	1	4.16237457487576	HighCPI
of.nothing	0.13640443241962	0.84831305322306	0.859209639990352	11	10	0.909090909090909	0.781099672718502	LowCPI
